latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
-46.558134055555556,-67.43282218333333,34.8856,14.89333,306,2019,34.8856,-11014286.801
-46.558134052777774,-67.43282216111112,34.8821,14.89361,306,2019,34.8821,-11014116.721
-46.55813409444443,-67.43282215833335,34.8733,14.89389,306,2019,34.8733,-11013946.811
-46.55813409444443,-67.43282215,34.8684,14.89416,306,2019,34.8684,-11013776.509
-46.55813410277777,-67.43282214166668,34.8638,14.89444,306,2019,34.8638,-11013606.336
-46.5581341111111,-67.43282213055556,34.8583,14.89472,306,2019,34.8583,-11013435.942
-46.55813410277777,-67.43282211944447,34.8545,14.89500,306,2019,34.8545,-11013265.848
-46.558134097222215,-67.43282209722223,34.8494,14.89528,306,2019,34.8494,-11013095.411
-46.558134097222215,-67.432822075,34.8453,14.89555,306,2019,34.8453,-11012924.742
-46.5581341,-67.43282205555558,34.8411,14.89583,306,2019,34.8411,-11012754.033
-46.5581341,-67.43282203333334,34.8367,14.89611,306,2019,34.8367,-11012583.465
-46.5581341111111,-67.4328220138889,34.8329,14.89639,306,2019,34.8329,-11012412.903
-46.55813410277777,-67.43282199722223,34.8307,14.89666,306,2019,34.8307,-11012242.370
-46.5581341,-67.43282198611114,34.8291,14.89694,306,2019,34.8291,-11012071.897
-46.558134088888885,-67.43282197500002,34.8295,14.89722,306,2019,34.8295,-11011901.539
-46.55813407222221,-67.4328219611111,34.8311,14.89750,306,2019,34.8311,-11011731.095
-46.55813405,-67.43282194722222,34.8322,14.89778,306,2019,34.8322,-11011560.635
-46.55813403333333,-67.43282193333334,34.8345,14.89805,306,2019,34.8345,-11011390.096
-46.558134027777776,-67.43282192222225,34.839,14.89833,306,2019,34.8390,-11011219.605
-46.55813402222222,-67.43282192222225,34.8432,14.89861,306,2019,34.8432,-11011049.130
-46.55813401666667,-67.4328219277778,34.8469,14.89889,306,2019,34.8469,-11010878.595
-46.55813401666667,-67.43282193611111,34.8508,14.89916,306,2019,34.8508,-11010707.996
-46.55813402222222,-67.43282194444446,34.8528,14.89944,306,2019,34.8528,-11010537.532
-46.55813402222222,-67.43282194444446,34.8552,14.89972,306,2019,34.8552,-11010367.044
-46.55813402222222,-67.43282193611111,34.8556,14.90000,306,2019,34.8556,-11010196.512
-46.55813401944445,-67.4328219277778,34.8564,14.90028,306,2019,34.8564,-11010025.946
-46.55813400277777,-67.43282191388889,34.8575,14.90055,306,2019,34.8575,-11009855.550
-46.55813398888888,-67.43282189722223,34.8583,14.90083,306,2019,34.8583,-11009685.057
-46.558133963888885,-67.43282188055557,34.8569,14.90111,306,2019,34.8569,-11009514.530
-46.558133941666654,-67.43282185555556,34.8559,14.90139,306,2019,34.8559,-11009344.512
-46.55813391666666,-67.43282183055557,34.855,14.90166,306,2019,34.8550,-11009174.207
-46.55813389444444,-67.43282181111111,34.8539,14.90194,306,2019,34.8539,-11009003.998
-46.55813390555555,-67.43282180833334,34.8477,14.90222,306,2019,34.8477,-11008833.472
-46.558133925,-67.43282181111111,34.8427,14.90250,306,2019,34.8427,-11008663.370
-46.558133969444434,-67.43282181944447,34.8333,14.90278,306,2019,34.8333,-11008493.349
-46.55813404444445,-67.43282182777777,34.8184,14.90305,306,2019,34.8184,-11008322.280
-46.55813407499999,-67.43282183888891,34.8075,14.90333,306,2019,34.8075,-11008151.251
